id;customs_broker_name;customs_contact_name;customs_currency;customs_phone_number;customs_value;from_airport_code;from_location_type;job_content_descr;ship_quantity;job_original_cost;quoted_amount;assign_to;to_company;to_location_type;date_created;job_number;job_customer;service_type;job_sales;job_deadline_time;job_time_zone;shipping_date;shipping_time;insurance_type;ship_total_weight;shipment_currency;shipment_metric;wo_request_type
1;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;70301;robust Engineer;96244;Quality-focused;49724;71227;Plastic;Computers Personal Loan Account Berkshire;Home;34507;2019-05-06T09:17:35;Public-key Granite;Way Dominican Republic;59269;Handmade 24/7 Re-contextualized;80313;36778;2019-05-06T19:48:15;63230;98342;deliver bypassing;hacking installation magenta;HDD;32595
2;red firewall open-source;deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;Enhanced deposit parsing;55520;Equatorial Guinea Vision-oriented;9310;96541;Virginia THX pink;cross-media;programming SCSI drive;88777;2019-05-06T15:40:57;Unbranded Cheese Dynamic;Alabama transform;94013;Supervisor clear-thinking;30536;54873;2019-05-06T19:26:12;69189;44842;Manager Fish;Networked;Fish;36646
3;program alarm;Nevada;Berkshire;dedicated Persevering;97301;target Human withdrawal;79481;Borders North Dakota;49251;86416;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;27956;2019-05-06T09:08:05;out-of-the-box Automotive Tactics;Venezuela Wisconsin;98033;Incredible functionalities fuchsia;26847;31692;2019-05-06T19:26:41;16949;37268;matrix calculating;Arkansas Intelligent Credit Card Account;intuitive Open-architected system-worthy;32255
4;calculating Metal array;discrete redundant;Synergistic Personal Loan Account Sleek;Borders;79829;deposit;70196;auxiliary Human;33799;2761;California interfaces;Garden Dale Wallis and Futuna;generating;86040;2019-05-07T06:21:33;Small Fresh Gloves;Brunei Darussalam interface;82786;composite Orchestrator Club;84202;5168;2019-05-07T02:25:34;53135;41135;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;43352
5;bypass Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;71459;invoice;27993;Operations alarm;55435;43567;system Gorgeous Rubber Pants;hack;leading-edge;9179;2019-05-07T05:59:14;Incredible Fresh Chips;Shoes Music connect;80691;e-business Light;64977;39850;2019-05-07T05:56:16;61585;94914;HTTP explicit;Personal Loan Account;Cambridgeshire Norfolk Island;68396
6;Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;54561;Web revolutionize Branding;90535;black;6936;21458;utilize;Generic;robust withdrawal generate;68161;2019-05-07T06:31:58;open-source hybrid;Solomon Islands Dollar;34833;Accountability Handmade Cotton Bacon;96758;28203;2019-05-06T17:56:24;17743;42347;South Dakota Wyoming interface;incentivize;Louisiana JSON Texas;23859
7;Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;38920;Industrial;90538;Fantastic time-frame Quality;95060;48252;Borders Practical;methodical;Pakistan;21272;2019-05-06T13:02:04;neural back-end Unbranded;Associate Designer;5587;circuit Guam;70583;11706;2019-05-06T07:50:38;14299;68803;generating SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;58130
8;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;42422;National;11119;Bedfordshire Tools;46866;57147;hack;Fresh payment synthesize;Versatile seize;47771;2019-05-07T00:14:03;EXE;web services;80210;Strategist;55600;4315;2019-05-06T23:20:49;89114;4340;Principal Senior;Paraguay;Sleek Tuna magenta;29449
9;Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;46369;one-to-one Indiana;7773;Engineer Architect;69816;3231;dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;58116;2019-05-06T16:22:10;markets Accountability EXE;Chair;41125;transmit Ways;98528;15041;2019-05-06T22:02:58;59413;74957;redefine transmitting;bypassing Bypass;Plastic Movies;7535
10;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;Response;60617;Synergized;67170;Checking Account global Steel;67157;49816;Springs connecting;SAS;Planner Refined;79181;2019-05-06T21:24:28;Granite Grocery;bluetooth payment digital;90315;Checking Account;98046;35058;2019-05-06T16:29:50;58991;63664;Jamaica Unbranded;real-time Berkshire solid state;middleware Switzerland;69764
